Directive ID,Administration,President,Directive Type,Number,Title,Signed Date,Published Date,Federal Register Citation,Federal Register URL,Official PDF URL,Related Directive IDs,Relationship Notes,First Seen,Last Changed,Content Fingerprint,Review Status,ARRP Record IDs,Source IDs,Disposition Rationale,Reviewed Date
2021-09593,Biden,Joseph R. Biden Jr.,Proclamation,10196,"Public Service Recognition Week, 2021",2021-04-30,2021-05-05,86 FR 23857,https://www.federalregister.gov/documents/2021/05/05/2021-09593/public-service-recognition-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09593.pdf,,,2026-07-21,2026-07-21,55a4648fb44e7fe004de46710c088a3df3f2d59be5402db2710bffb27cb6b16f,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09594,Biden,Joseph R. Biden Jr.,Proclamation,10197,"Law Day, U.S.A., 2021",2021-04-30,2021-05-05,86 FR 23859,https://www.federalregister.gov/documents/2021/05/05/2021-09594/law-day-usa-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09594.pdf,,,2026-07-21,2026-07-21,4483749b16b4498c859ca78261a3f03ff0dfa47c0a6ae7a728634d9ffa53da08,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09595,Biden,Joseph R. Biden Jr.,Proclamation,10198,"Loyalty Day, 2021",2021-04-30,2021-05-05,86 FR 23861,https://www.federalregister.gov/documents/2021/05/05/2021-09595/loyalty-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-05/pdf/2021-09595.pdf,,,2026-07-21,2026-07-21,04d2103128ba09d9976eaff0382cea7f00b9c47734a32f488ec2934d5d5fba3a,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09711,Biden,Joseph R. Biden Jr.,Proclamation,10199,Suspension of Entry as Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting Coronavirus Disease 2019,2021-04-30,2021-05-06,86 FR 24297,https://www.federalregister.gov/documents/2021/05/06/2021-09711/suspension-of-entry-as-nonimmigrants-of-certain-additional-persons-who-pose-a-risk-of-transmitting,https://www.govinfo.gov/content/pkg/FR-2021-05-06/pdf/2021-09711.pdf,,,2026-07-21,2026-07-21,5f7954fdeaddaced2077561accc4c1d14f36dffc8103aeb7ca152b9c7b429361,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09739,Biden,Joseph R. Biden Jr.,Proclamation,10200,"Older Americans Month, 2021",2021-05-03,2021-05-06,86 FR 24301,https://www.federalregister.gov/documents/2021/05/06/2021-09739/older-americans-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-06/pdf/2021-09739.pdf,,,2026-07-21,2026-07-21,328261e4c5dbd68a5d75bf43690811c75bb8a1d85ded84c6553f568354b2de0b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09861,Biden,Joseph R. Biden Jr.,Determination,2021-06,Emergency Presidential Determination on Refugee Admissions for Fiscal Year 2021,2021-05-03,2021-05-07,86 FR 24475,https://www.federalregister.gov/documents/2021/05/07/2021-09861/emergency-presidential-determination-on-refugee-admissions-for-fiscal-year-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-07/pdf/2021-09861.pdf,,,2026-07-21,2026-07-21,2c9870f9f35f2105fd99820c4584ed6ab9783b7ead8bd19b29a8fd88a2e4cf5a,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09852,Biden,Joseph R. Biden Jr.,Proclamation,10201,"60th Anniversary of the Freedom Rides, 2021",2021-05-04,2021-05-07,86 FR 24477,https://www.federalregister.gov/documents/2021/05/07/2021-09852/60th-anniversary-of-the-freedom-rides-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-07/pdf/2021-09852.pdf,,,2026-07-21,2026-07-21,f26f753f614ede15566f7ef8fea8d83b71cd7c1234c4c7f3bda9978bda7a71af,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09853,Biden,Joseph R. Biden Jr.,Proclamation,10202,"Missing and Murdered Indigenous Persons Awareness Day, 2021",2021-05-04,2021-05-07,86 FR 24479,https://www.federalregister.gov/documents/2021/05/07/2021-09853/missing-and-murdered-indigenous-persons-awareness-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-07/pdf/2021-09853.pdf,,,2026-07-21,2026-07-21,a96a780c31efe438557774dcdfff327ceee8ffb15a6c7314f58557a0c1911882,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09946,Biden,Joseph R. Biden Jr.,Proclamation,10203,"National Day of Prayer, 2021",2021-05-05,2021-05-10,86 FR 24697,https://www.federalregister.gov/documents/2021/05/10/2021-09946/national-day-of-prayer-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-10/pdf/2021-09946.pdf,,,2026-07-21,2026-07-21,1967a202065b644dfbf52b29dcabdcc4c010f1ed93e885fc477324af97b0e254,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09993,Biden,Joseph R. Biden Jr.,Notice,,Continuation of the National Emergency With Respect to the Actions of the Government of Syria,2021-05-06,2021-05-10,86 FR 25793,https://www.federalregister.gov/documents/2021/05/10/2021-09993/continuation-of-the-national-emergency-with-respect-to-the-actions-of-the-government-of-syria,https://www.govinfo.gov/content/pkg/FR-2021-05-10/pdf/2021-09993.pdf,,,2026-07-21,2026-07-21,d218c42bac3d9cf314593daa9c7c49941cef970dd02ddd7b0aa87189483f0ef8,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09995,Biden,Joseph R. Biden Jr.,Notice,,Continuation of the National Emergency With Respect to the Central African Republic,2021-05-06,2021-05-10,86 FR 25795,https://www.federalregister.gov/documents/2021/05/10/2021-09995/continuation-of-the-national-emergency-with-respect-to-the-central-african-republic,https://www.govinfo.gov/content/pkg/FR-2021-05-10/pdf/2021-09995.pdf,,,2026-07-21,2026-07-21,b4ce4d4192b4160487f2b852f6a6b498b915990fa9a132000864e05cfd3a6918,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09996,Biden,Joseph R. Biden Jr.,Notice,,Continuation of the National Emergency With Respect to the Stabilization of Iraq,2021-05-06,2021-05-10,86 FR 25797,https://www.federalregister.gov/documents/2021/05/10/2021-09996/continuation-of-the-national-emergency-with-respect-to-the-stabilization-of-iraq,https://www.govinfo.gov/content/pkg/FR-2021-05-10/pdf/2021-09996.pdf,,,2026-07-21,2026-07-21,621d2e50f4afaf555a8bcf7e28d0291ae62f84f595afdf59830ba5e40ea84923,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-10038,Biden,Joseph R. Biden Jr.,Proclamation,10204,"Military Spouse Appreciation Day, 2021",2021-05-06,2021-05-11,86 FR 25799,https://www.federalregister.gov/documents/2021/05/11/2021-10038/military-spouse-appreciation-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-05-11/pdf/2021-10038.pdf,,,2026-07-21,2026-07-21,4a40032e0f8dc9b266633460c066530d7fbb10871cf97e9a0b2b3bc00256a066,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
